geneSymbol	Context2	DEG_chr	DEG_start	DEG_end	geneType
LINC02603	AvC	chr9	94176494	94259545	lncRNA
CICP6	AvC	chr3	198223497	198226310	processed_pseudogene
ENSG00000230309	AvC	chr6	77717036	78606036	lncRNA
TPI1P2	AvC	chr7	129056019	129056770	transcribed_processed_pseudogene
LINC03125	AvC	chr20	23159587	23190419	lncRNA
LINC01747	AvC	chr20	22668480	22685394	lncRNA
SERPINB9P1	AvC	chr6	2851230	2886183	lncRNA
CTF2P	AvC	chr16	30904348	30910208	unitary_pseudogene
ANKRD18B	AvC	chr9	33524251	33608848	protein_coding
ENSG00000230498	AvC	chr1	77081984	77086402	lncRNA
CCDC192	AvC	chr5	127703361	127941507	protein_coding
KMT2CP5	AvC	chr2	91696452	91714745	transcribed_unprocessed_pseudogene
TEX48	AvC	chr9	114666434	114682192	protein_coding
APPAT	AvC	chr2	97416059	97437397	lncRNA
PRB4	AvC	chr12	11307077	11310436	protein_coding
KLHL7-DT	AvC	chr7	23100214	23105703	lncRNA
CEACAM22P	AvC	chr19	44542798	44549166	transcribed_unprocessed_pseudogene
ENSG00000230715	AvC	chr7	128652841	128653243	transcribed_processed_pseudogene
LINC03016	AvC	chr7	7255154	7278077	lncRNA
OCLNP1	AvC	chr5	71074225	71093193	transcribed_unprocessed_pseudogene
ENSG00000230882	AvC	chr7	76071469	76074963	processed_pseudogene
MIR205HG	AvC	chr1	209427531	209432855	lncRNA
LINC02541	AvC	chr6	113616897	113654710	lncRNA
ENSG00000230990	AvC	chr20	11234170	11301584	lncRNA
AHI1-DT	AvC	chr6	135497422	135894890	lncRNA
ENSG00000231039	AvC	chr10	5234309	5264210	lncRNA
GNB1-DT	AvC	chr1	1891175	1892835	lncRNA
THBS3-AS1	AvC	chr1	155194806	155207322	lncRNA
SPRY4-AS1	AvC	chr5	142325177	142761042	lncRNA
ENSG00000231189	AvC	chr2	223498773	223504611	lncRNA
COMETT	AvC	chr7	116563594	116724495	lncRNA
ITPR1-DT	AvC	chr3	4479281	4493205	lncRNA
SBK3	AvC	chr19	55539018	55550284	protein_coding
LINC01712	AvC	chr1	83445967	83574191	lncRNA
LINC03078	AvC	chr19	43323549	43331550	lncRNA
LINC00689	AvC	chr7	159006492	159030195	lncRNA
HSP90AA3P	AvC	chr1	158523672	158525838	processed_pseudogene
FAM27C	AvC	chr9	61854038	62096920	lncRNA
FAM225A	AvC	chr9	113111624	113119928	lncRNA
LINC02015	AvC	chr3	177816847	177940299	lncRNA
FAHD2CP	AvC	chr2	96013730	96021608	transcribed_unprocessed_pseudogene
SLC47A1P2	AvC	chr17	19615789	19633132	transcribed_unprocessed_pseudogene
KRT17P6	AvC	chr17	20512560	20517479	transcribed_unprocessed_pseudogene
LINC01698	AvC	chr1	209350401	209380518	lncRNA
CD109-AS1	AvC	chr6	73669691	73696297	lncRNA
LINC01704	AvC	chr1	158131983	158149810	lncRNA
KILH	AvC	chr6	53561289	53617171	lncRNA
LINC01090	AvC	chr2	187711775	188384400	lncRNA
TMSB15B-AS1	AvC	chrX	103845151	103919548	lncRNA
LINC01273	AvC	chr20	50165586	50188316	lncRNA
CHODL-AS1	AvC	chr21	17835016	17885608	lncRNA
ENSG00000231760	AvC	chr6	149796151	149799150	lncRNA
RPS27AP5	AvC	chr1	192716183	192716653	processed_pseudogene
ENSG00000231769	AvC	chr6	46096004	46129857	lncRNA
DNAJB6P3	AvC	chr2	219684030	219684795	processed_pseudogene
PCAT7	AvC	chr9	94554599	94603990	lncRNA
NANOGP9	AvC	chrX	65772741	65773632	processed_pseudogene
TMEM139-AS1	AvC	chr7	143255264	143287997	lncRNA
KRT17P3	AvC	chr17	30567700	30571748	transcribed_unprocessed_pseudogene
ENSG00000231875	AvC	chrX	81363268	81364170	processed_pseudogene
ENSG00000231881	AvC	chr6	44058792	44089288	lncRNA
PRH1	AvC	chr12	10824960	11171608	protein_coding
NEBL-AS1	AvC	chr10	21173599	21182579	lncRNA
PGM5P4-AS1	AvC	chr2	113526836	113542789	lncRNA
DPY19L1P2	AvC	chr7	32812757	32838570	transcribed_unprocessed_pseudogene
CT69	AvC	chr6	134428239	134524668	lncRNA
MCF2L2P1	AvC	chr3	186826549	186827337	unprocessed_pseudogene
EP300-AS1	AvC	chr22	41141367	41197520	lncRNA
FAAHP1	AvC	chr1	46432129	46445321	transcribed_unprocessed_pseudogene
ENSG00000232072	AvC	chr7	46890625	47049678	lncRNA
VPS51P2	AvC	chr7	97938439	97938794	processed_pseudogene
ENSG00000232124	AvC	chr21	44198797	44208090	lncRNA
LINC01873	AvC	chr2	66383306	66392450	lncRNA
ENSG00000232176	AvC	chr9	19200335	19201046	processed_pseudogene
FTH1P7	AvC	chr13	22696023	22696574	processed_pseudogene
LINC02043	AvC	chr3	186810880	186825662	lncRNA
ASCL5	AvC	chr1	201113943	201127184	protein_coding
LINC03002	AvC	chr6	134524505	134689399	lncRNA
LINC02518	AvC	chr6	113345749	113441455	lncRNA
ENSG00000232328	AvC	chr2	236733289	236755151	lncRNA
MHENCR	AvC	chr20	63626148	63628825	lncRNA
EMSLR	AvC	chr7	101308258	101314800	lncRNA
FAM131C2P	AvC	chr1	16035178	16040029	transcribed_unprocessed_pseudogene
SLC16A6P1	AvC	chr17	64953683	64956546	transcribed_unprocessed_pseudogene
ENSG00000232471	AvC	chr4	49550032	49557400	transcribed_unprocessed_pseudogene
TGFB2-AS1	AvC	chr1	218344145	218347866	lncRNA
LINC02802	AvC	chr1	144135212	144250375	lncRNA
LIF-AS1	AvC	chr22	30238784	30240556	lncRNA
ENSG00000232555	AvC	chr2	172301145	172370401	lncRNA
LINC02576	AvC	chr2	65030678	65053807	lncRNA
ENSG00000232828	AvC	chrX	48636633	48801376	lncRNA
BRWD1P3	AvC	chr7	17033089	17033478	processed_pseudogene
PTGES2-AS1	AvC	chr9	128128529	128130628	lncRNA
LINC03138	AvC	chr21	28328738	28836786	lncRNA
ENSG00000232884	AvC	chr21	14676685	14763590	lncRNA
ENSG00000232909	AvC	chr6	35733435	35737689	lncRNA
LINC00342	AvC	chr2	95806973	95835003	lncRNA
CYP1B1-AS1	AvC	chr2	38073447	38231651	lncRNA
LINC01219	AvC	chr11	1988477	1993673	lncRNA
MIR3936HG	AvC	chr5	132311285	132370170	lncRNA
SNHG7	AvC	chr9	136721366	136728961	lncRNA
ATP13A3-DT	AvC	chr3	194487120	194521156	lncRNA
ENSG00000233068	AvC	chr6	3831847	3901742	lncRNA
LINC01399	AvC	chr22	35194699	35194942	transcribed_processed_pseudogene
ENSG00000233081	AvC	chr9	91421366	91427174	lncRNA
ENSG00000233085	AvC	chr6	169286532	169292503	lncRNA
LINC00702	AvC	chr10	4201141	4268709	lncRNA
LINC00456	AvC	chr13	97117149	97187578	lncRNA
RNF224	AvC	chr9	137226908	137229640	protein_coding
MROH3P	AvC	chr1	200917460	200966536	transcribed_unitary_pseudogene
ARHGEF4-AS1	AvC	chr2	130830978	130836994	lncRNA
ENSG00000233275	AvC	chr2	95434759	95435113	transcribed_processed_pseudogene
RASA4DP	AvC	chr7	102681836	102690469	transcribed_unprocessed_pseudogene
MIPEPP3	AvC	chr13	21298259	21306373	transcribed_unprocessed_pseudogene
IATPR	AvC	chr10	33055799	33116817	lncRNA
LINC01783	AvC	chr1	16514977	16535707	lncRNA
STXBP5-AS1	AvC	chr6	146824501	147204677	lncRNA
CDHR17P	AvC	chr7	81489472	81608710	transcribed_unitary_pseudogene
LINC00460	AvC	chr13	106374477	106384315	lncRNA
ENSG00000233539	AvC	chr7	46673785	46759851	lncRNA
CYP51A1P2	AvC	chr13	28722386	28724021	processed_pseudogene
LINC02609	AvC	chr1	90769086	90851701	lncRNA
LINC01392	AvC	chr7	115061537	115231355	lncRNA
TWIST2	AvC	chr2	238848032	238910534	protein_coding
ENSG00000233633	AvC	chr2	556498	578145	lncRNA
LINC02579	AvC	chr2	64606975	64616556	lncRNA
LINC01122	AvC	chr2	58427707	59355588	lncRNA
NRAD1	AvC	chr13	43908669	44042929	lncRNA
CICP27	AvC	chr1	131025	134836	processed_pseudogene
CAVIN2-AS1	AvC	chr2	191844916	192085236	lncRNA
CICP5	AvC	chr1	223947605	223950416	unprocessed_pseudogene
LINC01237	AvC	chr2	241881353	242078722	lncRNA
MIR4280HG	AvC	chr5	87048858	87180021	lncRNA
GIRGL	AvC	chr7	20188113	20221710	lncRNA
ENSG00000233836	AvC	chr19	23790772	23833314	transcribed_unprocessed_pseudogene
DLG5-AS1	AvC	chr10	77925651	77929849	lncRNA
LINC01503	AvC	chr9	129320968	129359549	lncRNA
LINC01694	AvC	chr21	45590717	45603088	lncRNA
KRTAP5-AS1	AvC	chr11	1571353	1620791	lncRNA
ENSG00000233967	AvC	chr6	80390987	80466674	lncRNA
ENSG00000234042	AvC	chr9	63703065	63703755	processed_pseudogene
TPRG1-AS1	AvC	chr3	188941196	188947829	lncRNA
IDH1P1	AvC	chr6	7516600	7517840	processed_pseudogene
AKAP8P1	AvC	chr9	11011748	11013096	processed_pseudogene
LINC02535	AvC	chr6	85320314	85404911	lncRNA
ENSG00000234160	AvC	chr9	37509150	37510299	lncRNA
ENSG00000234185	AvC	chr7	66119603	66165011	lncRNA
LINC01191	AvC	chr2	113970621	114028083	lncRNA
DEPDC1-AS1	AvC	chr1	68496671	68538627	lncRNA
ENSG00000234273	AvC	chr7	109521981	109597301	lncRNA
ENSG00000234338	AvC	chr7	64835280	64836882	processed_pseudogene
ELF2P1	AvC	chrX	103910305	103911352	processed_pseudogene
PFN1P3	AvC	chr1	145407772	145408173	transcribed_processed_pseudogene
SNX18P7	AvC	chr9	33576380	33577014	transcribed_processed_pseudogene
CCDC188	AvC	chr22	20148416	20151055	protein_coding
CICP13	AvC	chr1	222468094	222470882	processed_pseudogene
ENSG00000234477	AvC	chr17	40921430	40975926	lncRNA
HRAT17	AvC	chr7	112943295	112995737	lncRNA
ENSG00000234597	AvC	chr2	19458220	19468961	lncRNA
ELF3-AS1	AvC	chr1	201995696	202010463	lncRNA
EPCAM-DT	AvC	chr2	47192405	47345112	lncRNA
SEC61G-DT	AvC	chr7	54759283	54814588	lncRNA
ATP5F1AP8	AvC	chr9	39654241	39655531	processed_pseudogene
ENSG00000234773	AvC	chr19	12207332	12209563	transcribed_unprocessed_pseudogene
SVIL2P	AvC	chr10	30655651	30717266	transcribed_unprocessed_pseudogene
NXT1-AS1	AvC	chr20	23309728	23351501	lncRNA
LINC01239	AvC	chr9	22640681	22824213	lncRNA
CDC42P2	AvC	chr7	55638274	55638842	processed_pseudogene
ATP5F1AP1	AvC	chr9	42410830	42412150	processed_pseudogene
LINC02925	AvC	chr22	46537892	46557010	lncRNA
SHISA8	AvC	chr22	41909543	41915074	protein_coding
FTH1P2	AvC	chr1	228687415	228687826	processed_pseudogene
CDK5R2-AS1	AvC	chr2	218899739	218962135	lncRNA
LINC00940	AvC	chr12	1929202	1936574	lncRNA
ENSG00000235056	AvC	chr2	195003711	195026370	lncRNA
ENSG00000235070	AvC	chr2	226086623	226185651	lncRNA
ENSG00000235077	AvC	chr7	100130891	100143647	lncRNA
ID2-AS1	AvC	chr2	8666636	8681898	lncRNA
LINC00330	AvC	chr13	44799503	44809630	lncRNA
ANKRD65	AvC	chr1	1415637	1421769	protein_coding
LINC02532	AvC	chr6	106705328	106824178	lncRNA
LINC01366	AvC	chr5	170306810	170335508	lncRNA
LINC00601	AvC	chr10	126412059	126424917	lncRNA
IL2RB-AS1	AvC	chr22	37166743	37182931	lncRNA
LINC00957	AvC	chr7	44039049	44044375	lncRNA
LINC02154	AvC	chrX	13266032	13308637	lncRNA
SPAAR	AvC	chr9	35909488	35937153	protein_coding
LURAP1L-AS1	AvC	chr9	12631434	12814382	lncRNA
HAUS6P3	AvC	chr7	53862233	53863339	processed_pseudogene
UBE2R2-AS1	AvC	chr9	33732970	33818836	lncRNA
ENSG00000235495	AvC	chr2	67565248	67684077	lncRNA
ENSG00000235523	AvC	chr9	72257336	72257783	lncRNA
NFAM1	AvC	chr22	42380407	42432403	protein_coding
GNAS-AS1	AvC	chr20	58818893	58855296	lncRNA
ENSG00000235610	AvC	chr2	223489090	223528308	lncRNA
ENSG00000235659	AvC	chr9	61861469	61869202	lncRNA
LINC02250	AvC	chr15	25456131	25578823	lncRNA
LINC00607	AvC	chr2	215611563	215925887	lncRNA
ENSG00000235837	AvC	chr7	16685717	16719898	lncRNA
B3GALT4	AvC	chr6	33277123	33284832	protein_coding
ENSG00000235893	AvC	chr9	65816932	65817472	processed_pseudogene
LINC01564	AvC	chr6	53614863	53707024	lncRNA
RBMS3-AS3	AvC	chr3	29054570	29290726	lncRNA
ENSG00000235911	AvC	chr2	19711667	19717576	lncRNA
ENSG00000235959	AvC	chr2	95640181	95640604	transcribed_processed_pseudogene
ENSG00000235978	AvC	chr3	4764242	4887293	lncRNA
LINC02941	AvC	chr6	139976352	140146226	lncRNA
HSPB1P1	AvC	chr9	72007881	72008136	processed_pseudogene
SCN1A-AS1	AvC	chr2	165957188	166390771	lncRNA
LINC03070	AvC	chrX	5653418	5726388	lncRNA
CEACAMP11	AvC	chr19	43278933	43284318	unprocessed_pseudogene
ENSG00000236145	AvC	chr2	121178327	121182580	lncRNA
CDC42EP3-AS1	AvC	chr2	37425634	37921937	lncRNA
ENSG00000236230	AvC	chr1	222086146	222389103	lncRNA
TLX1NB	AvC	chr10	101089321	101141438	lncRNA
LINC02653	AvC	chr10	90402521	90628981	lncRNA
CTSLP1	AvC	chr10	87386685	87390203	transcribed_unprocessed_pseudogene
ENSG00000236431	AvC	chr2	95536117	95536495	processed_pseudogene
LINC00427	AvC	chr13	30316360	30319903	lncRNA
ENSG00000236469	AvC	chr2	71000440	71064746	lncRNA
LINC00896	AvC	chr22	20206340	20235981	lncRNA
ENSG00000236536	AvC	chr7	19117758	19122012	lncRNA
HMGA1P1	AvC	chrX	26748029	26749090	processed_pseudogene
ARHGEF38	AvC	chr4	105552620	105708093	protein_coding
ANKRD20A7P	AvC	chr9	42852675	42920095	transcribed_unprocessed_pseudogene
ENSG00000236829	AvC	chr16	386763	387233	transcribed_processed_pseudogene
ENSG00000236841	AvC	chr2	162120177	162173223	lncRNA
LINC02827	AvC	chr12	3300084	3325343	lncRNA
ENSG00000236921	AvC	chr9	22203798	22216807	lncRNA
GGT8P	AvC	chr2	91775944	91781169	unprocessed_pseudogene
FABP5P1	AvC	chr13	73100575	73100985	processed_pseudogene
LINC01812	AvC	chr2	67796047	67825658	lncRNA
RPL5P2	AvC	chr20	45490818	45491671	processed_pseudogene
LINC02652	AvC	chr10	28433008	28502612	lncRNA
SLC25A15P2	AvC	chr13	19411231	19416188	unprocessed_pseudogene
TRBV30	AvC	chr7	142812586	142813399	TR_V_gene
LINC01732	AvC	chr1	181104688	181197932	lncRNA
FAM88E	AvC	chr9	42467562	42569410	lncRNA
MGC27382	AvC	chr1	78222433	78369464	lncRNA
NRBF2P3	AvC	chr1	110848077	110848941	processed_pseudogene
HNRNPA1P57	AvC	chr2	41156598	41157555	transcribed_processed_pseudogene
ENSG00000237464	AvC	chr20	45487381	45557424	lncRNA
LINC01637	AvC	chr22	20957092	20964881	lncRNA
WAKMAR2	AvC	chr6	137820625	137868233	lncRNA
GPAT2P1	AvC	chr2	95792220	95800166	transcribed_unprocessed_pseudogene
SHISA9	AvC	chr16	12901598	13240416	protein_coding
PYY2	AvC	chr17	28227306	28227701	transcribed_unprocessed_pseudogene
IGKV1OR10-1	AvC	chr10	42185339	42185791	IG_V_pseudogene
TIAM1-AS1	AvC	chr21	31559245	31560487	lncRNA
DYRK3-AS1	AvC	chr1	206634133	206636239	lncRNA
FAM138A	AvC	chr1	34553	37595	lncRNA
ENSG00000237640	AvC	chr7	99919561	99948620	lncRNA
LINC01610	AvC	chr6	70375762	70403117	lncRNA
SCIRT	AvC	chr6	43931505	44074685	lncRNA
CT75	AvC	chr2	222318275	222321512	transcribed_unprocessed_pseudogene
AMY1A	AvC	chr1	103650592	103664629	protein_coding
LINC02984	AvC	chr8	53393077	53524336	lncRNA
RPS3AP29	AvC	chr7	97898347	97899115	processed_pseudogene
ENSG00000237846	AvC	chr9	40105822	40106527	processed_pseudogene
LINC01473	AvC	chr2	186032041	186486584	lncRNA
PRKCQ-AS1	AvC	chr10	6580419	6616921	lncRNA
ENSG00000237961	AvC	chr4	49238032	49245419	processed_pseudogene
OR2I1	AvC	chr6	29550407	29557773	protein_coding
RPL35P1	AvC	chr1	236981339	236981708	processed_pseudogene
LINC01808	AvC	chr2	19468997	19520102	lncRNA
SPATA3-AS1	AvC	chr2	230963274	230996057	lncRNA
LINC01589	AvC	chr22	45604413	45639173	lncRNA
LINC00426	AvC	chr13	30316360	30377145	lncRNA
ENSG00000238122	AvC	chr1	108247487	108273689	lncRNA
TNFRSF14-AS1	AvC	chr1	2540861	2557059	lncRNA
ENSG00000238171	AvC	chr2	181076051	181105968	lncRNA
OR7E7P	AvC	chr7	97946987	97947998	transcribed_unprocessed_pseudogene
ALG1L6P	AvC	chr3	75415070	75422143	transcribed_unprocessed_pseudogene
ERRFI1-DT	AvC	chr1	8026413	8187014	lncRNA
RNU7-141P	AvC	chr20	59852667	59852728	snRNA
NCK1-DT	AvC	chr3	136807637	136862618	lncRNA
ENSG00000239392	AvC	chr9	34133157	34134696	processed_pseudogene
CYP4F62P	AvC	chr2	130439285	130440296	transcribed_unprocessed_pseudogene
ENSG00000239572	AvC	chr3	87641412	87793629	lncRNA
APOBEC3G	AvC	chr22	39077059	39087743	protein_coding
TTC14-DT	AvC	chr3	180491772	180602142	lncRNA
CCDC54-AS1	AvC	chr3	107129887	107421356	lncRNA
C1orf226	AvC	chr1	162378841	162386812	protein_coding
ENPP7P2	AvC	chr3	75446769	75491202	transcribed_unprocessed_pseudogene
ENSG00000239991	AvC	chr3	55162566	55178107	lncRNA
LINC02004	AvC	chr3	134312144	134341848	lncRNA
SNHG33	AvC	chr3	183451741	183455335	transcribed_unprocessed_pseudogene
ENSG00000240086	AvC	chr3	135138469	135439888	lncRNA
ENSG00000240093	AvC	chr7	176561	194641	lncRNA
SMKR1	AvC	chr7	129502531	129512918	protein_coding
AQP1	AvC	chr7	30911720	30925517	protein_coding
BTNL12P	AvC	chr3	120357754	120367874	transcribed_unitary_pseudogene
ENSG00000240710	AvC	chr1	204603035	204616565	lncRNA
LINC03014	AvC	chr7	149549	165520	lncRNA
PLCXD2	AvC	chr3	111674676	111846447	protein_coding
HOXA11-AS	AvC	chr7	27184507	27189298	lncRNA
CYP51A1P1	AvC	chr3	82806515	82808021	processed_pseudogene
PRICKLE2-AS1	AvC	chr3	64024107	64103131	lncRNA
LINC02614	AvC	chr3	125782336	125916427	lncRNA
LINC01487	AvC	chr3	155240908	155258766	lncRNA
RN7SL466P	AvC	chr1	161735808	161736102	misc_RNA
ENSG00000241449	AvC	chr7	150033653	150076655	lncRNA
PTPRG-AS1	AvC	chr3	62214400	62369406	lncRNA
ATP5F1AP7	AvC	chr9	62686912	62688190	processed_pseudogene
ADAMTS9-AS2	AvC	chr3	64684879	65061892	lncRNA
ARPC1A	AvC	chr7	99325880	99366267	protein_coding
LINC02053	AvC	chr3	180413008	180507405	lncRNA
RPL7AP30	AvC	chr4	112788083	112788878	processed_pseudogene
RPSAP52	AvC	chr12	65758121	65758998	transcribed_processed_pseudogene
SPRR2A	AvC	chr1	153056120	153057512	protein_coding
C8orf58	AvC	chr8	22599594	22604150	protein_coding
SLC5A4-AS1	AvC	chr22	32205115	32278382	lncRNA
ENSG00000242136	AvC	chr2	9102943	9106341	lncRNA
LASTR	AvC	chr10	5594980	5635925	lncRNA
RPL7AP27	AvC	chr4	188349376	188350024	processed_pseudogene
SRRM1P2	AvC	chr3	83937045	83938236	processed_pseudogene
MAT2AP1	AvC	chr3	112696908	112697706	unprocessed_pseudogene
SERPINB10	AvC	chr18	63907958	63936111	protein_coding
MBL1P	AvC	chr10	79920327	79923032	transcribed_unitary_pseudogene
DECR2	AvC	chr16	401854	412492	protein_coding
CD200R1L-AS1	AvC	chr3	112802478	112812819	lncRNA
ENSG00000242798	AvC	chr7	100115214	100127156	lncRNA
AP5Z1	AvC	chr7	4775615	4794397	protein_coding
AADACL2-AS1	AvC	chr3	151552378	151928178	lncRNA
EPS15P1	AvC	chr7	46782800	46783135	transcribed_processed_pseudogene
MACC1-OT1	AvC	chr7	19898489	20140453	lncRNA
ENSG00000243089	AvC	chr3	99503282	99639737	lncRNA
ENSG00000243225	AvC	chr14	76968683	76969145	processed_pseudogene
VSIG8	AvC	chr1	159854316	159862657	protein_coding
ENSG00000243296	AvC	chr3	99331402	99505508	lncRNA
ENSG00000243302	AvC	chr7	128651185	128652334	transcribed_processed_pseudogene
ENSG00000243415	AvC	chr3	146064042	146105204	lncRNA
AOX2P	AvC	chr2	200738608	200791630	transcribed_unprocessed_pseudogene
MIR1302-2HG	AvC	chr1	28589	31109	lncRNA
ENSG00000243491	AvC	chr2	9757496	9773958	lncRNA
WFDC6	AvC	chr20	45534196	45539482	protein_coding
UPK3B	AvC	chr7	76510525	76516522	protein_coding
ENSG00000243679	AvC	chr7	128653969	128654722	transcribed_processed_pseudogene
APOBEC3D	AvC	chr22	39021113	39033277	protein_coding
WDR86-AS1	AvC	chr7	151408943	151414243	lncRNA
PPIEL	AvC	chr1	39531838	39558707	transcribed_unprocessed_pseudogene
UBE2H-DT	AvC	chr7	129953068	130026989	lncRNA
SPRR2F	AvC	chr1	153112121	153113516	protein_coding
ENSG00000244176	AvC	chr11	62011751	62012602	processed_pseudogene
PELP1-DT	AvC	chr17	4704095	4705770	lncRNA
ENSG00000244358	AvC	chr3	145939912	145961536	lncRNA
RN7SL636P	AvC	chr20	50429190	50429483	misc_RNA
ETV5	AvC	chr3	186046314	186110318	protein_coding
ENSG00000244464	AvC	chr3	99598064	99637308	lncRNA
KCNK15-AS1	AvC	chr20	44656445	44746362	lncRNA
PTCHD4	AvC	chr6	47856673	48111197	protein_coding
LINC00847	AvC	chr5	180830326	180839742	lncRNA
GALNT7-DT	AvC	chr4	173094676	173170198	lncRNA
USP2-AS1	AvC	chr11	119356467	119659284	lncRNA
ASAH1-AS1	AvC	chr8	18084236	18127404	lncRNA
LNCRNA-IUR	AvC	chr11	95150499	95309854	lncRNA
KLRK1-AS1	AvC	chr12	10363608	10398506	lncRNA
CRNDE	AvC	chr16	54844649	54931354	lncRNA
CEBPA	AvC	chr19	33299934	33302534	protein_coding
GS1-24F4.2	AvC	chr8	6835515	6885358	lncRNA
RRS1-DT	AvC	chr8	66209800	66432399	lncRNA
LINC01550	AvC	chr14	97924637	97987918	lncRNA
ENSG00000246250	AvC	chr11	43827517	43880726	lncRNA
LINC02458	AvC	chr12	89010681	89309571	lncRNA
ENSG00000246465	AvC	chr16	28284885	28292067	lncRNA
LINC02288	AvC	chr14	77027711	77086720	lncRNA
PICART1	AvC	chr17	50050349	50056018	lncRNA
DNM1P35	AvC	chr15	75727670	75739045	lncRNA
BRPF3-AS1	AvC	chr6	36112466	36200952	lncRNA
SOCS2-AS1	AvC	chr12	93501115	93571768	lncRNA
BAALC-AS1	AvC	chr8	103153394	103371410	lncRNA
MIR210HG	AvC	chr11	565657	568542	lncRNA
ENSG00000247121	AvC	chr5	96814027	96936021	lncRNA
ENSG00000247134	AvC	chr8	32927913	33076792	lncRNA
CSTF3-DT	AvC	chr11	33161544	33252611	lncRNA
LINC01252	AvC	chr12	11499742	11590369	lncRNA
ENSG00000247228	AvC	chr16	70137655	70173505	lncRNA
LY6E-DT	AvC	chr8	142981707	143018626	lncRNA
ENSG00000247372	AvC	chr5	75320007	75336914	lncRNA
GPRC5D-AS1	AvC	chr12	12927682	13022056	lncRNA
NR2F2-AS1	AvC	chr15	96080713	96337579	lncRNA
SEC24B-AS1	AvC	chr4	109346134	109434572	lncRNA
LINC00926	AvC	chr15	57300317	57307769	lncRNA
FAM13A-AS1	AvC	chr4	88708622	88730103	lncRNA
ARHGAP42-AS1	AvC	chr11	100684161	100687968	lncRNA
ENSG00000248112	AvC	chr5	82850942	83011784	lncRNA
RRN3P1	AvC	chr16	21797750	21820384	transcribed_unprocessed_pseudogene
LINC02383	AvC	chr4	43457527	43492543	lncRNA
NFKB1-AS1	AvC	chr4	102418602	102502487	lncRNA
LINC02268	AvC	chr4	174061731	174220441	lncRNA
LINC03140	AvC	chr4	128567933	128570531	lncRNA
ENSG00000248296	AvC	chr5	124492775	124536348	lncRNA
BNIP3P41	AvC	chr4	49554	50124	transcribed_processed_pseudogene
LUCAT1	AvC	chr5	91054834	91314547	lncRNA
HAFML	AvC	chr4	176631958	176706145	lncRNA
ST13P12	AvC	chr5	82968888	82977153	processed_pseudogene
ENSG00000248401	AvC	chr4	83247179	83248206	processed_pseudogene
PRR5-ARHGAP8	AvC	chr22	44702233	44862706	protein_coding
LINC02437	AvC	chr4	184988997	185005186	lncRNA
PPP1R3B-DT	AvC	chr8	9151669	9426716	lncRNA
ENSG00000248559	AvC	chr5	134399495	134401921	lncRNA
ENSG00000248583	AvC	chr4	49486926	49489554	unprocessed_pseudogene
ENSG00000248588	AvC	chr5	92823935	92886872	lncRNA
ENSG00000248596	AvC	chr5	176143085	176185155	lncRNA
ENSG00000248597	AvC	chr5	1963346	1975382	lncRNA
ENSG00000248601	AvC	chr4	167946674	168113331	lncRNA
LINC01085	AvC	chr4	14126339	14126664	transcribed_processed_pseudogene
PRDM8-AS1	AvC	chr4	80181264	80197410	lncRNA
LINC01948	AvC	chr5	56449986	56482121	lncRNA
LINC02432	AvC	chr4	141302910	141357096	lncRNA
ENSG00000248837	AvC	chr4	22989147	23193740	lncRNA
LINC02753	AvC	chr11	70056230	70065371	lncRNA
LINC02065	AvC	chr5	66205120	66209893	lncRNA
FLJ46284	AvC	chr8	92674978	92879502	lncRNA
LINC02511	AvC	chr4	136795919	137212799	lncRNA
FAM138E	AvC	chr15	101953420	101956412	lncRNA
ENSG00000248954	AvC	chr17	49887590	49938666	lncRNA
SPCS3-AS1	AvC	chr4	176308268	176320458	lncRNA
ENSG00000248994	AvC	chr5	1927877	2119926	lncRNA
FAM138D	AvC	chr12	36602	38133	lncRNA
ENSG00000249061	AvC	chr5	86967321	87137712	lncRNA
TNPO1-DT	AvC	chr5	72574098	72816565	lncRNA
LINC01093	AvC	chr4	184892858	184899908	lncRNA
TMEM150C	AvC	chr4	82483170	82562357	protein_coding
C1QTNF7-AS1	AvC	chr4	15004925	15427915	lncRNA
LINC00939	AvC	chr12	125943740	125983667	lncRNA
ARL2BPP4	AvC	chr5	130529419	130529889	processed_pseudogene
ENSG00000249319	AvC	chr7	66087761	66152277	protein_coding
ENSG00000249328	AvC	chr8	79769372	79871784	lncRNA
LINC02997	AvC	chr5	67379378	67806600	lncRNA
LINC01091	AvC	chr4	123539026	123962704	lncRNA
LINC01179	AvC	chr4	165684639	165762778	lncRNA
ENSG00000249526	AvC	chr5	139684637	139775472	lncRNA
ENSG00000249547	AvC	chr4	23234625	23285573	lncRNA
TARS1-DT	AvC	chr5	33418737	33441230	lncRNA
ENSG00000249627	AvC	chr4	157815010	157815480	processed_pseudogene
LINC00942	AvC	chr12	1500454	1510830	lncRNA
ENSG00000249631	AvC	chr4	11624720	11845730	lncRNA
HOXC13-AS	AvC	chr12	53935250	53939692	lncRNA
SRD5A3-AS1	AvC	chr4	55363971	55396096	lncRNA
ENSG00000249741	AvC	chr4	143911514	143912053	processed_pseudogene
ENSG00000249752	AvC	chr4	149027445	149062522	lncRNA
ENPP7P10	AvC	chr4	9079023	9141608	unprocessed_pseudogene
ENSG00000249857	AvC	chr5	82940458	82940983	lncRNA
PVT1	AvC	chr8	127794513	128188202	lncRNA
LINC02742	AvC	chr11	28702301	29064322	lncRNA
